N,sheet,day_total_one,day_total_two,day_within_year,is_pm,is_other,possible_date,year_within_file,day_within_month_one,month_number_one,day_within_month_two,month_number_two,fill_in_after,main_symbols_in_record,phonetic_symbols_in_record
4,9об,,,300,,,,0,,,,,0,18,0
4,9об,,,301,,,,0,,,,,1,20,1
4,9об,,,305,,,,0,,,,,0,23,1
4,9об,,,307,,,,0,,,,,0,45,4
4,9,,,305,,,,0,,,,,0,78,1
4,9,,,309,,,,0,,,,,1,70,3
4,8об,,,314,,,,0,,,,,0,33,2
4,8,,,316,,,,0,,,,,1,53,0
4,8,,,319,,,,0,,,,,0,46,0
4,7об,,,318,,,,0,,,,,1,28,0
4,6,,33,329,,,,0,,,,,0,150,2
4,6,,33,330,,,,0,,,,,1,63,2
4,5об,,35,332,,,,0,,,,,0,71,0
4,5,,,338,,,,0,,,,,0,39,0
4,5,,38,339,,,,0,,,,,0,32,0
4,5,,,340,,,,0,,,,,0,77,3
4,5,,,341,,,,0,,,,,0,34,0
4,5,,39,342,,,,0,,,,,0,27,2
4,4об,,42,343,,,,0,,,,,0,30,0
4,4об,,43,344,,1,,0,,,,,1,34,0
4,3,,63,364,,,,0,,,,,0,,
4,3,,64,1,,,,1,,,,,0,88,0
4,3,,65,2,,,,1,,,,,0,24,0
4,2об,,74,11,,,,1,,,,,2,22,0
7,1об,,75,12,,,,0,,,,,0,106,6
7,1об,,81,13,,,,0,,,,,1,38,3
7,1об,,85,17,,,,0,,,,,1,45,0
7,2,,87,19,,,,0,,,,,0,21,0
7,2,,,20,,,,0,,,,,0,42,0
7,2,,69,21,,,,0,,,,,1,25,0
7,7об,,95,47,,,,0,,,,,1,60,2
7,10об,,103,55,,,,0,,,,,0,75,0
7,11,,104,56,,,,0,,,,,0,59,3
7,11об,,105,56,,,,0,,,,,1,38,0
7,20,,120,71,,,,0,,,,,1,85,2
7,26об,,127,78,,1,,0,,,,,0,94,0
7,27об,,148,79,,,,0,,,,,1,78,1
7,30об,,151,82,,,,0,,,,,1,74,3
7,34об,,155,86,,,,0,,,,,0,67,0
7,35об,,156,86,,,,0,,,,,1,68,0
7,41,,166,96,,,,0,,,,,0,57,1
7,41,,167,98,,,,0,,,,,1,66,4
7,42,,172,103,,,,0,,,,,4,90,2
5,3об,,179,116,,,,0,,,,,1,49,4
5,2,,182,119,,,,0,,,,,0,73,5
5,4,,183,120,,,,0,,,,,1,62,2
5,9об,,194,131,,,,0,,,,,4,95,0
11,2об,,244,180,,,,0,,,,,0,31,0
11,2об,,245,181,,,,0,,,,,1,43,0
11,3об,,249,185,,,,0,,,,,1,108,3
11,5,,255,191,,,,0,,,,,1,152,0
11,6,,260,196,,,,0,,,,,1,80,3
11,7об,,267,203,,,,0,,,,,1,53,0
11,7об,,268,204,,,,0,,,,,2,27,0
12,3об,,269,205,,,,0,,,,,1,41,0
12,4,,271,207,,,,0,,,,,0,125,5
12,4об,,262,208,,,,0,,,,,1,22,0
12,7об,,272,218,,,,0,,,,,1,53,1
12,9об,,285,231,,,,0,,,,,0,70,3
12,10,,285,232,,,,0,,,,,1,52,0
12,10об,,288,235,,,,0,,,,,1,45,6
12,11об,,292,239,,1,,0,,,,,1,90,0
12,14,,303,250,,,,0,,,,,1,97,2
12,20,,327,274,,,,0,,,,,0,59,2
12,20,,308,275,,,,0,,,,,1,88,9
12,29,,349,316,,,,0,,,,,0,54,0
12,29,,351,317,,,,0,,,,,0,44,0
12,29,,351,318,,,,0,,,,,0,92,6
12,29об,,352,319,,,,0,,,,,0,82,5
12,29об,,343,320,,,,0,,,,,1,35,1
12,31,,352,329,,,,0,,,,,0,60,6
12,31,,,330,,,,0,,,,,0,129,5
12,31об,,353,331,,,,0,,,,,1,100,1
12,33об,,364,342,1,,1934-05-01,0,,,,,1,167,10
12,34,,367,345,,,,0,,,,,0,34,0
12,34,,367,346,,,,0,,,,,1,47,4
12,34об,,375,354,,,,0,,,,,0,44,2
12,35,,380,355,,,,0,,,,,1,78,5
12,36,,389,364,,,,0,,,,,0,62,0
12,36,,390,1,,,,1,,,,,1,76,6
12,37,,394,5,,,,1,,,,,0,,
12,37,,394,6,,,,1,,,,,1,,
12,40,,408,20,,,,1,,,,,0,,
12,40об,,407,21,,,,1,,,,,1,,
12,40об,,409,23,,,,1,,,,,0,,
12,41,,408,24,,,,1,,,,,1,,
12,41,,410,26,,,,1,,,,,0,,
12,41,,410,27,,,,1,,,,,0,,
12,41об,,411,28,,,,1,,,,,1,90,2
12,41об,,416,33,,,,1,,,,,0,,
12,42,,419,34,,,,1,,,,,3,,
13,1об,,418,35,,,,0,,,,,1,88,2
13,5,,430,47,,,,0,,,,,0,,
13,5,,429,48,,,,0,,,,,1,,
13,7,,439,58,,,,0,,,,,0,,
13,7об,,420,59,,,,0,,,,,1,,
13,23,,479,118,,,,0,,,,,0,,
13,23об,,465,119,,,,0,,,,,1,,
13,28,,481,135,,,,0,,,,,1,147,7
13,36,,517,171,,,,0,,,,,0,,
13,36об,,518,173,,,,0,,,,,0,,
13,36об,,519,174,,,,0,,,,,0,,
13,37,,519,175,,,,0,,,,,1,,
13,44об,,539,195,,,,0,,,,,1,48,0
13,47,,549,205,,,,0,,,,,0,,
13,47об,,549,205,,,,0,,,,,1,,
13,51об,,566,222,,,,0,,,,,0,,
13,51об,,566,223,,,,0,,,,,0,,
13,52,,567,204,,,,0,,,,,0,,
13,52,,568,205,,,,0,,,,,0,,
13,52об,,569,225,,,,0,,,,,1,,
13,69,,618,274,,,,0,,,,,1,61,8
13,69об,,620,276,,,,0,,,,,2,,
14,2,,621,277,,,,0,,,,,1,102,3
14,7об,,643,299,,,,0,,,,,0,,
14,7об,,643,300,,,,0,,,,,1,,
14,10об,,654,311,,,,0,,,,,1,91,3
14,11об,,658,315,,,,0,,,,,0,,
14,11об,,658,316,,,,0,,,,,1,,
14,17об,,679,337,1,,1935-05-01,0,,,,,1,66,11
14,18,,682,340,,,,0,,,,,0,,
14,18об,,682,340,,,,0,,,,,1,,
14,24,,706,364,,,,0,,,,,0,,
14,24,,707,1,,,,1,,,,,1,,
14,25,,709,3,,,,1,,,,,1,65,2
14,31,,728,22,,,,1,,,,,1,92,3
14,41,,754,48,,,,1,,,,,2,106,5
15,1об,,755,49,,,,0,,,,,1,,
15,3,,759,53,,,,0,,,,,0,,
15,3об,,759,54,,,,0,,,,,0,,
15,3об,,760,55,,,,0,,,,,0,,
15,3об,,760,56,,,,0,,,,,1,,
15,5об,,766,62,,,,0,,,,,1,144,3
15,10об,,798,94,,,,0,,,,,1,94,14
15,11,,808,104,,,,0,,,,,0,35,4
15,11,,809,105,,,,0,,,,,2,,
16,1об,,810,106,,,,0,,,,,1,,
16,2,,813,109,,,,0,,,,,1,46,4
16,5,,829,125,,,,0,,,,,0,90,13
16,5,,,126,,,,0,,,,,1,,
16,8об,,,145,,,,0,,,,,6,,
17,1,,,145,,,,0,,,,,1,,
17,10об,,,175,,,,0,,,,,1,,
17,30об,,,229,,,,0,,,,,0,,
17,31,,,230,,,,0,,,,,5,,
18,1об,,,211,,,,0,,,,,0,92,18
18,2,,,232,,,,0,,,,,1,,
18,3,,,234,,1,1936-01-21,0,,,,,1,,
18,16об,,,257,,,,0,,,,,0,,
18,17об,,,259,,,,0,,,,,1,,
18,21об,,,267,,,,0,,,,,1,107,26
18,37,,,269,,,,0,,,,,0,,
18,37об,,,271,,,,0,,,,,1,,
18,45,,,286,,,,0,,,,,3,51,15
19,1об,,,287,,,,0,,,,,1,68,19
19,8,,,329,,,,0,,,,,1,,
19,9об,,,337,1,,1936-05-01,0,,,,,1,,
19,13об,,,365,,,,0,,,,,0,66,15
19,14,,,2,,,,1,,,,,1,54,23
19,15,,,13,,,,1,,,,,0,,
19,15об,,,13,,,,1,,,,,1,,
19,18об,,,34,,,,1,,,,,3,56,7
20,35,,,35,,,,0,,,,,1,48,7
20,33об,,,49,,,,0,,,,,1,42,6
20,30,,,74,,,,0,,,,,1,32,10
20,20об,,,131,,,,0,,,,,1,34,6
20,15об,,,160,,,,0,,,,,0,73,22
20,15,1583,,161,,,,0,,,,,0,,
20,14об,,,162,,,,0,,,,,0,,
20,14об,1585,,163,,,,0,,,,,0,,
20,14,1585,,164,,,,0,,,,,1,63,22
20,13,1589,,168,,,,0,,,,,0,,
20,12об,1589,,168,,,,0,,,,,1,,
20,11,1595,,174,,,,0,,,,,0,,
20,10об,1596,,176,,,,0,,,,,1,68,14
20,5об,1614,,194,,,,0,,,,,1,55,15
20,3,1620,,200,,,,0,,,,,4,,
21,2,1621,,200,,,,0,,,,,0,,
21,2,1622,,201,,,,0,,,,,1,51,8
21,4об,1629,,208,,,,0,,,,,1,75,21
21,7об,1640,,219,,,,0,,,,,1,63,16
21,10об,1650,,229,,,,0,,,,,1,19,6
21,11,1653,,232,,,,0,,,,,1,55,17
21,15,1668,,247,,,,0,,,,,1,117,46
21,19об,1684,,263,,,,0,,,,,1,54,9
21,20,1689,,268,,,,0,,,,,2,32,6
22,4об,1703,,282,,,,0,,,,,2,105,28
23,1,1723,,302,,,,0,3,0,,,0,,
23,1,1724,,303,,,,0,4,0,,,0,,
23,2,1724,,303,,,,0,5,0,,,1,,
23,2об,1727,,306,,,,0,8,0,,,1,54,21
23,4об,1736,,315,,,,0,17,0,,,0,,
23,4об,1737,,316,,,,0,17,0,,,1,,
23,5об,1739,,318,,,,0,19,0,,,1,137,70
23,8,1749,,328,,,,0,29,0,,,0,,
23,8об,1750,,329,,,,0,1,1,,,1,,
23,9,1752,,331,1,,1937-05-01,0,3,1,,,1,,
23,11об,1762,,341,,,,0,13,1,,,0,,
23,11об,1743,,342,,,,0,14,1,,,1,,
23,12,1744,,343,,,,0,15,1,,,6,51,30
24_1,1,1744,,343,,,,0,15,0,,,1,,
24_1,2,1748,,347,,,,0,19,0,,,0,,
24_1,2,1749,,348,,,,0,25,0,,,0,,
24_1,2,1750,,349,,,,0,20,0,,,1,,
24_1,6об,1759,,358,,,,0,29,0,,,0,,
24_1,6об,1760,,359,,,,0,1,1,,,1,,
24_1,8,1765,,364,,,,0,6,1,,,0,,
24_1,8,1766,,1,,,,1,7,1,,,1,,
24_1,15об,1780,,15,,,,1,21,1,,,0,,
24_1,16об,1781,,16,,,,1,,,,,0,,
24_1,16об,1782,,17,,,,1,22,1,,,1,,
24_1,20об,1790,,25,,,,1,30,1,,,0,,
24_1,20об,1791,,26,,,,1,1,2,,,1,,
24_1,29об,1820,,55,,,,1,30,2,,,0,,
24_1,29об,1821,,56,,,,1,1,3,,,1,,
24_1,33,1831,,66,,,,1,11,3,,,6,,
25,4,1811,,66,,,,0,11,0,,,1,,
25,5,1815,,70,,,,0,15,0,,,1,84,58
25,7,1830,,85,,,,0,30,0,,,0,,
25,7,1831,,86,,,,0,,,,,0,40,8
25,7,1832,,87,,,,0,1,1,,,1,,
25,9,1843,,98,,,,0,12,1,,,1,96,29
25,10,1847,,102,,,,0,16,1,,,1,,
25,11об,1855,,110,,,,0,24,1,,,1,63,18
25,13,1859,,114,,,,0,28,1,,,0,,
25,13,1860,,115,,,,0,29,1,2,2,0,,
25,13об,1861,,116,,,,0,30,1,3,2,0,,
25,13об,1862,,117,,,,0,1,2,4,2,1,,
25,15об,1865,,120,,,,0,4,2,7,2,2,57,21
24_2,33об,1866,,121,,,,0,5,0,8,0,1,,
24_2,43,1886,,141,,,,0,25,0,28,0,2,,
26,2,1887,,142,,,,0,26,0,29,0,0,,
26,3,1888,,143,,,,0,27,0,30,0,0,,
26,3,1889,,144,,,,0,28,0,31,0,0,,
26,4,1890,,145,,,,0,29,0,1,1,0,,
26,5,1891,,147,,,,0,30,0,2,1,0,,
26,5,1892,,148,,,,0,31,0,3,1,0,,
26,6,1893,,148,,,,0,1,1,4,1,1,,
26,7,1896,,151,,,,0,4,1,7,1,0,,
26,8,1896,,152,,,,0,5,1,8,1,1,,
26,9,1898,,154,,,,0,7,1,10,1,0,,
26,10,1894,,155,,,,0,8,1,11,1,1,,
26,23,1913,,174,,,,0,27,1,30,1,0,,
26,23об,1914,,175,,,,0,28,1,1,2,1,,
26,24об,1916,,177,,,,0,30,1,3,2,0,,
26,25об,1917,,178,,,,0,1,2,4,2,1,,
26,31,1930,,191,,,,0,14,2,17,2,0,,
26,31об,1931,,192,,,,0,16,2,19,2,1,,
26,39об,1942,,203,,,,0,27,2,30,2,0,,
26,39об,1943,,204,,,,0,28,2,1,3,1,,
26,41об,1945,,206,,,,0,30,2,3,3,0,,
26,43об,1946,,207,,,,0,1,3,4,3,1,,
26,43об,1947,,208,,,,0,2,3,5,3,1,73,21
26,44об,1949,,210,,,,0,4,3,7,3,0,,
26,2об,1950,,211,,,,0,5,3,8,3,1,,
26,8об,1964,,225,,1,1938-01-21,0,19,3,22,3,1,,
