page,written,transcription,phonetic_symbols,is_strong
2,iatav,а'тав,,TRUE
2,riэnut,ръэнут,,FALSE
2,mьnьtwgьian,мынытвыгъан,MNA,NA
2,eep,еп,,FALSE
2,waьrgьn,вагыргын,,TRUE
2,ŋotqen,ӈотӄэн,,TRUE
2,ьrgьnan,ыргынан,,TRUE
2,ruckete,,A,NA
2,ŋotqen,ӈотӄэн,,TRUE
2,waьrgьn,вагыргын,,TRUE
2,qoren,ӄорэн,N,TRUE
2,alwa,аԓва,,TRUE
2,waliьn,ваԓьын,AN,TRUE
2,ieьr,игыр,K,FALSE
2,ermet,эрмэт,T,NA
2,ŋutkeken,ӈуткэкин,KK,FALSE
2,warkьt,варкыт,T,TRUE
2,эlьэkeleetke,,,NA
2,эlьэŋuke,,,NA
2,ŋanqen,ӈанӄэн,,TRUE
2,nutaьtь,нотагты,TT,TRUE
2,melgьtaŋь,мэԓгытанӈын,,TRUE
2,qoren,ӄорэн,N,TRUE
2,waьrgьn,вагыргын,,TRUE
2,ьnkiam,ынкъам,,TRUE
2,ьrgnan,ыргынан,,TRUE
2,ermete,эрмэтэ,T,NA
2,ŋutku,ӈутку,,FALSE
2,turpkre,,,NA
2,ьnkiam,ынкъам,,TRUE
2,qoren,ӄорэн,N,TRUE
2,waьrgьn,вагыргын,,TRUE
2,gemo,гэмо,,TRUE
2,waliьn,ваԓьын,AN,TRUE
2,ŋutenutek,,,NA
2,juletkьlin,,T,NA
2,meьceretьk,мигчирэтык,TK,FALSE
2,rucket,,KRT,NA
3,ŋutenuteken,,,NA
3,nьpьluqen,ныппыԓюӄин,,FALSE
3,qoraŋь,ӄораӈы,,TRUE
3,mutlek,,K,NA
3,teneŋeŋkь,,T,NA
3,gemo,гэмо,,TRUE
3,waliьn,ваԓьын,AN,TRUE
3,ьrgьnan,ыргынан,,TRUE
3,ruckete,,KRA,NA
3,ermete,эрмэтэ,T,NA
3,ŋutkuken,ӈуткэкин,KK,FALSE
3,qoraŋь,ӄораӈы,,TRUE
3,nьrulqen,ныруԓӄин,,FALSE
3,nьpьluqen,ныппыԓюӄин,,FALSE
3,qrьmen,ӄырымэн,,NA
3,konekon,,KN,NA
3,qrьmen,ӄырымэн,,NA
3,korwa,,KR,NA
3,ьnqenat,ынӄэнат,T,TRUE
3,ьmьlio,ымыԓьо,,TRUE
3,nьketguqenet,ныкэтгуӄинэт,,FALSE
3,ŋekuken,ӈэнкукин,KK,FALSE
3,ьrgen,ыргин,,FALSE
3,meьcelien,мигчитԓьэн,,NA
3,ьnkiam,ынкъам,,TRUE
3,ьrgьnan,ыргынан,,TRUE
3,ŋutkeken,ӈуткэкин,KN,FALSE
3,qoraŋь,ӄораӈы,,TRUE
3,gemo,гэмо,,TRUE
3,ruckete,,KRA,NA
3,waliьn,ваԓьын,AN,TRUE
3,waьrgьn,вагыргын,,TRUE
4,nьpьluqen,ныппыԓюӄин,,FALSE
4,ŋutenuteken,,,NA
4,qoraŋь,ӄораӈы,,TRUE
4,jarat,йъарат,,TRUE
4,teьmeŋьrkьn,,RN,NA
4,moqor,мооӄор,,TRUE
4,mekrelь,миӈкыриԓы,,FALSE
4,nьrulqen,ныруԓӄин,,FALSE
4,nьpьluqen,ныппыԓюӄин,,FALSE
4,ьruckete,,KRA,NA
4,ьrgьnan,ыргынан,,TRUE
4,ŋutku,ӈутку,,FALSE
4,morkwaratьk,,,NA
4,ьrgьnan,ыргынан,,TRUE
4,ьruckete,,KR,NA
4,rьcemiwe,рэчимгъугъэ,,NA
4,iorawelian,о'равэтԓьан,,TRUE
4,ьŋen,ынӈин,,FALSE
4,ajьlga,айыԓга,A,TRUE
4,nьtemauqen,нытэнмавӄэн,NTM,NA
4,macьnan,мачынан,,TRUE
4,nьneteqen,,N,NA
4,moqor,мооӄор,,TRUE
4,armaьtь,армагты,AT,TRUE
4,murkwaratn,,T,NA
4,ьŋen,ынӈин,,FALSE
4,metkeet,мэткиит,,FALSE
4,moqor,мооӄор,,TRUE
4,ьnkь,ынкы,,NA
4,kemetiьk,кимитъык,,FALSE
5,meьceretьk,мигчирэтык,TK,FALSE
5,iemetьk,,,NA
5,nьlwauŋuqen,ныԓвавыӈӈоӄэн,,TRUE
5,moqor,мооӄор,,TRUE
5,wlьe,вэнԓыги,,FALSE
5,эrmete,эрмэтэ,T,NA
5,nenuqen,нинивӄин,,FALSE
5,wtwtь,,,NA
5,эqьlpэ,эӄыԓпэ,,NA
5,ьŋenken,ынӈинкин,,FALSE
5,mьkeliьn,мыкыԓьын,,NA
5,kemetьin,кимитъын,,FALSE
5,qrtgьn,ӄырэтгын,,NA
5,gьnan,гынан,,TRUE
5,ьnqen,ынӄэн,,NA
5,melgьtaŋьt,мэԓгытанӈыт,T,TRUE
5,jejuletkьlinet,,T,NA
5,teneŋeŋkь,,KT,NA
5,nьpьluqen,ныппыԓюӄин,,FALSE
5,ŋutkeken,ӈуткэкин,KK,FALSE
5,nьrulqen,ныруԓӄин,,FALSE
5,nьlgwauŋaqen,,,NA
5,qьnwer,ӄынвэр,,NA
5,ьŋen,ынӈин,,FALSE
5,nenetьqen,,N,NA
5,cьmqьk,чымӄык,,NA
5,moqor,мооӄор,,TRUE
5,qonpь,ӄонпы,,TRUE
5,nьtmŋuqen,,N,NA
5,manerelia,,,NA
5,ьruckete,,KRT,NA
5,nenetьqen,,N,NA
5,moqor,мооӄор,,TRUE
